部件ID,对象类型,对象句柄,起点X,起点Y,终点X,终点Y,圆心X,圆心Y,半径,起始角度(°),总角度(°)
A2,CIRCLE,3C692,,,,,17.998409,76.343414,2.5,,
A2,CIRCLE,3C691,,,,,17.998409,66.151498,2.5,,
A2,ARC,3C690,31.498409,45.767665,35.498409,49.767665,31.498409,49.767665,4,269.999999,90
A2,LINE,3C68F,17.848409,45.767665,4.498409,45.767665,,,,,
A2,LINE,3C68E,31.498409,45.767665,18.148409,45.767665,,,,,
A2,ARC,3C68D,0.498409,49.767665,4.498409,45.767665,4.498409,49.767665,4,180.000001,90
A2,LINE,3C68C,0.498409,66.326498,0.498409,82.53533,,,,,
A2,LINE,3C68B,0.498409,49.767665,0.498409,65.976498,,,,,
A2,ARC,3C68A,4.498409,86.53533,0.498409,82.53533,4.498409,82.53533,4,89.999999,90
A2,LINE,3C689,18.148409,86.53533,31.498409,86.53533,,,,,
A2,LINE,3C688,4.498409,86.53533,17.848409,86.53533,,,,,
A2,ARC,3C687,35.498409,82.53533,31.498409,86.53533,31.498409,82.53533,4,0.000001,90
A2,LINE,3C686,35.498409,65.976498,35.498409,49.767665,,,,,
A2,LINE,3C685,35.498409,82.53533,35.498409,66.326498,,,,,
A2,ARC,3C684,7.698409,50.653736,8.998409,51.953736,7.698409,51.953736,1.3,270,90
A2,LINE,3C683,7.298409,50.653736,7.698409,50.653736,,,,,
A2,ARC,3C682,8.998409,54.351523,7.698409,55.651523,7.698409,54.351523,1.3,0,90
A2,LINE,3C681,8.998409,51.953736,8.998409,54.351523,,,,,
A2,ARC,3C680,7.298409,55.651523,5.998409,54.351523,7.298409,54.351523,1.3,90,90
A2,LINE,3C67F,7.698409,55.651523,7.298409,55.651523,,,,,
A2,ARC,3C67E,5.998409,51.953736,7.298409,50.653736,7.298409,51.953736,1.3,180,90
A2,LINE,3C67D,5.998409,54.351523,5.998409,51.953736,,,,,
A2,ARC,3C67C,28.298409,55.651523,26.998409,54.351523,28.298409,54.351523,1.3,90,90
A2,LINE,3C67B,28.698409,55.651523,28.298409,55.651523,,,,,
A2,LINE,3C67A,26.998409,54.351523,26.998409,51.953736,,,,,
A2,ARC,3C679,28.698409,50.653736,29.998409,51.953736,28.698409,51.953736,1.3,270,90
A2,ARC,3C678,26.998409,51.953736,28.298409,50.653736,28.298409,51.953736,1.3,180,90
A2,LINE,3C677,28.298409,50.653736,28.698409,50.653736,,,,,
A2,ARC,3C676,29.998409,54.351523,28.698409,55.651523,28.698409,54.351523,1.3,0,90
A2,LINE,3C675,29.998409,51.953736,29.998409,54.351523,,,,,
A2,ARC,3C674,7.698409,78.651547,8.998409,79.951547,7.698409,79.951547,1.3,270,90
A2,LINE,3C673,7.298409,78.651547,7.698409,78.651547,,,,,
A2,ARC,3C672,8.998409,80.348012,7.698409,81.648012,7.698409,80.348012,1.3,0,90
A2,LINE,3C671,8.998409,79.951547,8.998409,80.348012,,,,,
A2,ARC,3C670,7.298409,81.648012,5.998409,80.348012,7.298409,80.348012,1.3,90,90
A2,LINE,3C66F,7.698409,81.648012,7.298409,81.648012,,,,,
A2,ARC,3C66E,5.998409,79.951547,7.298409,78.651547,7.298409,79.951547,1.3,180,90
A2,LINE,3C66D,5.998409,80.348012,5.998409,79.951547,,,,,
A2,ARC,3C66C,28.298409,81.648012,26.998409,80.348012,28.298409,80.348012,1.3,90,90
A2,LINE,3C66B,28.698409,81.648012,28.298409,81.648012,,,,,
A2,ARC,3C66A,26.998409,79.951547,28.298409,78.651547,28.298409,79.951547,1.3,180,90
A2,LINE,3C669,26.998409,80.348012,26.998409,79.951547,,,,,
A2,ARC,3C668,28.698409,78.651547,29.998409,79.951547,28.698409,79.951547,1.3,270,90
A2,LINE,3C667,28.298409,78.651547,28.698409,78.651547,,,,,
A2,ARC,3C666,29.998409,80.348012,28.698409,81.648012,28.698409,80.348012,1.3,0,90
A2,LINE,3C665,29.998409,79.951547,29.998409,80.348012,,,,,
A3,CIRCLE,3C664,,,,,58.109765,86.026846,1,,
A3,ARC,3C663,68.609777,85.526846,69.609777,84.526846,69.609777,85.526846,1,180,90
A3,ARC,3C662,69.609777,87.526846,68.609777,86.526846,69.609777,86.526846,1,90,90
A3,ARC,3C661,73.606242,86.526846,72.606242,87.526846,72.606242,86.526846,1,360,90
A3,ARC,3C660,72.606242,84.526846,73.606242,85.526846,72.606242,85.526846,1,270,90
A3,ARC,3C65F,73.606242,65.526846,72.606242,66.526846,72.606242,65.526846,1,360,90
A3,ARC,3C65E,72.606242,63.526846,73.606242,64.526846,72.606242,64.526846,1,270,90
A3,ARC,3C65D,68.609777,64.526846,69.609777,63.526846,69.609777,64.526846,1,180,90
A3,ARC,3C65C,69.609777,66.526846,68.609777,65.526846,69.609777,65.526846,1,90,90
A3,CIRCLE,3C65B,,,,,58.109727,75.526846,2.5,,
A3,CIRCLE,3C65A,,,,,48.10848,75.526846,2.5,,
A3,LINE,3C659,68.609777,64.526846,68.609777,65.526846,,,,,
A3,LINE,3C658,69.609777,66.526846,72.606242,66.526846,,,,,
A3,LINE,3C657,73.606242,65.526846,73.606242,64.526846,,,,,
A3,LINE,3C656,72.606242,63.526846,69.609777,63.526846,,,,,
A3,LINE,3C655,73.606242,86.526846,73.606242,85.526846,,,,,
A3,LINE,3C654,72.606242,84.526846,69.609777,84.526846,,,,,
A3,LINE,3C653,68.609777,85.526846,68.609777,86.526846,,,,,
A3,LINE,3C652,69.609777,87.526846,72.606242,87.526846,,,,,
A3,ARC,3C651,45.609753,86.226846,44.309753,87.526846,44.309753,86.226846,1.3,360,90
A3,LINE,3C650,45.609753,86.226846,45.609753,85.826846,,,,,
A3,ARC,3C64F,44.309753,84.526846,45.609753,85.826846,44.309753,85.826846,1.3,270,90
A3,LINE,3C64E,44.309753,84.526846,43.911966,84.526846,,,,,
A3,ARC,3C64D,42.611966,85.826846,43.911966,84.526846,43.911966,85.826846,1.3,180,90
A3,LINE,3C64C,42.611966,85.826846,42.611966,86.226846,,,,,
A3,ARC,3C64B,43.911966,87.526846,42.611966,86.226846,43.911966,86.226846,1.3,90,90
A3,LINE,3C64A,43.911966,87.526846,44.309753,87.526846,,,,,
A3,ARC,3C649,43.911966,66.526846,42.611966,65.226846,43.911966,65.226846,1.3,90,90
A3,LINE,3C648,42.611966,64.826846,42.611966,65.226846,,,,,
A3,LINE,3C647,43.911966,66.526846,44.309753,66.526846,,,,,
A3,ARC,3C646,45.609753,65.226846,44.309753,66.526846,44.309753,65.226846,1.3,360,90
A3,LINE,3C645,45.609753,65.226846,45.609753,64.826846,,,,,
A3,ARC,3C644,44.309753,63.526846,45.609753,64.826846,44.309753,64.826846,1.3,270,90
A3,ARC,3C643,42.611966,64.826846,43.911966,63.526846,43.911966,64.826846,1.3,180,90
A3,LINE,3C642,44.309753,63.526846,43.911966,63.526846,,,,,
A3,ARC,3C641,41.725895,93.026846,37.725895,89.026846,41.725895,89.026846,4,90.000001,90
A3,LINE,3C640,37.725895,75.351846,37.725895,62.026846,,,,,
A3,LINE,3C63F,37.725895,89.026846,37.725895,75.701846,,,,,
A3,ARC,3C63E,37.725895,62.026846,41.725895,58.026846,41.725895,62.026846,4,179.999999,90
A3,LINE,3C63D,58.259727,58.026846,74.49356,58.026846,,,,,
A3,LINE,3C63C,41.725895,58.026846,57.959727,58.026846,,,,,
A3,ARC,3C63B,74.49356,58.026846,78.49356,62.026846,74.49356,62.026846,4,270.000001,90
A3,LINE,3C63A,78.49356,75.701846,78.49356,89.026846,,,,,
A3,LINE,3C639,78.49356,62.026846,78.49356,75.351846,,,,,
